U0,U1,U2,U3,U4,U5,U6,U7,U8,U9,U10,U11,U12,U13,U14,U15,U16,U17,U18,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Classe
0.0,0.02604,0.0700171,0.114372,0.18356,0.227818,0.275522,0.326118,0.350755,0.400215,0.45231,0.517352,0.582881,0.628464,0.670274,0.715112,0.766867,0.894458,1.0,-0.241328,-0.24076,-0.382468,-0.476305,-0.593655,-0.61743,-0.504855,-0.412193,-0.351116,-0.166189,-0.022414,0.172456,0.24418,0.313756,0.2318,0.14475,0.0793702,-0.110296,-0.145673,-0.2855,-0.304906,0.59389,0.609914,0.581118,0.541493,0.35874,0.224551,-0.00927712,-0.114862,-0.182237,-0.233304,-0.276878,-0.174848,-0.0110613,0.113796,0.337401,0.467095,0.506674,0.630705,0.637463,0.635594,0.602899,0
0.0,0.0258237,0.0699125,0.113236,0.184751,0.230215,0.279688,0.32786,0.351841,0.403933,0.459108,0.524892,0.588938,0.635455,0.67692,0.718936,0.771023,0.903746,1.0,-0.241421,-0.24047,-0.381997,-0.475143,-0.593851,-0.618475,-0.49799,-0.409729,-0.342341,-0.157694,-0.00692268,0.186029,0.251203,0.315499,0.213337,0.140054,0.0655057,-0.117628,-0.149019,-0.290621,-0.303631,0.593921,0.609794,0.581426,0.54198,0.35968,0.221381,-0.0189168,-0.119044,-0.185663,-0.235703,-0.279111,-0.155381,0.00014331,0.138308,0.365408,0.472712,0.514476,0.636323,0.635925,0.634341,0.602399,0
0.0,0.0333303,0.095941,0.195263,0.228912,0.337528,0.350641,0.427861,0.47211,0.549044,0.573618,0.636779,0.684871,0.710097,0.750142,0.796939,0.874423,0.973361,1.0,-0.232612,-0.262839,-0.419671,-0.572244,-0.6366,-0.436411,-0.397964,-0.119124,0.0435619,0.220574,0.258421,0.306998,0.219141,0.135885,0.0834313,-0.0146332,-0.105398,-0.157099,-0.256189,-0.303514,-0.3025,0.600969,0.596889,0.595049,0.41922,0.22105,-0.0963522,-0.161009,-0.25468,-0.271466,-0.0966698,0.0114671,0.156399,0.361815,0.474248,0.503606,0.567424,0.626561,0.635578,0.641936,0.607374,0.609757,0
0.0,0.0570054,0.114658,0.169344,0.225432,0.277446,0.328758,0.385686,0.445159,0.501878,0.55747,0.608302,0.66319,0.718206,0.774793,0.832838,0.888941,0.944302,1.0,-0.223481,-0.30872,-0.462941,-0.569562,-0.628006,-0.509745,-0.421406,-0.306251,-0.0596675,0.130995,0.23289,0.292591,0.279573,0.150554,0.0817704,-0.0688673,-0.12005,-0.17322,-0.245552,-0.297153,-0.303971,0.603478,0.593646,0.579436,0.387634,0.241271,0.00812675,-0.121877,-0.196423,-0.276668,-0.214713,-0.042543,0.0561142,0.259111,0.463832,0.505522,0.603094,0.630485,0.635919,0.64022,0.614338,0.607255,0
0.0,0.0387196,0.132432,0.155134,0.192329,0.234885,0.276183,0.317788,0.360556,0.409252,0.448295,0.486662,0.539785,0.618739,0.691052,0.739238,0.775946,0.888293,1.0,-0.626581,-0.635993,-0.584409,-0.562439,-0.484448,-0.335991,-0.186036,-0.0599221,0.119105,0.283444,0.399427,0.457987,0.450775,0.356659,0.133686,-0.0195949,-0.251773,-0.418053,-0.574996,-0.641707,-0.641951,0.0676223,0.0697031,-0.19859,-0.363506,-0.497148,-0.61609,-0.659093,-0.695673,-0.603696,-0.459872,-0.290208,-0.0756317,0.0811134,0.288254,0.372504,0.403637,0.406008,0.382312,0.146374,-0.00550125,-0.0168171,0
0.0,0.0528687,0.133557,0.164098,0.203185,0.247682,0.28913,0.330219,0.372866,0.418622,0.459104,0.500928,0.555373,0.627313,0.693421,0.740029,0.785488,0.885538,1.0,-0.627196,-0.635636,-0.576352,-0.559471,-0.464276,-0.285134,-0.153918,-0.00839601,0.170588,0.316696,0.421633,0.462741,0.436463,0.315875,0.11235,-0.0345047,-0.268998,-0.419655,-0.57909,-0.640178,-0.642526,0.074603,0.0504003,-0.227394,-0.379229,-0.522114,-0.637962,-0.669354,-0.688209,-0.555295,-0.429195,-0.227488,-0.033995,0.135616,0.311871,0.376111,0.404344,0.406688,0.375116,0.14194,-0.00444286,-0.017132,0
0.0,0.0371963,0.183061,0.191569,0.23961,0.259128,0.281475,0.386343,0.395708,0.415604,0.470909,0.562788,0.600599,0.657212,0.706234,0.755712,0.763863,0.945088,1.0,-0.623247,-0.642312,-0.545588,-0.589701,-0.293728,-0.202199,-0.110245,0.0691029,0.274415,0.372803,0.439669,0.47722,0.363249,0.167569,0.0489325,-0.114194,-0.272349,-0.461579,-0.606101,-0.641023,-0.643289,0.0664044,0.0723337,-0.300832,-0.428049,-0.634939,-0.65303,-0.680192,-0.666286,-0.476259,-0.322493,-0.166405,0.0557265,0.277986,0.358421,0.392268,0.406484,0.404266,0.367501,0.0731327,-0.00961904,-0.0173355,0
0.0,0.0546011,0.111739,0.1636,0.219182,0.278728,0.334324,0.3898,0.443752,0.499696,0.555872,0.61215,0.668824,0.723974,0.776933,0.832607,0.888706,0.944401,1.0,-0.627382,-0.635344,-0.5854,-0.559855,-0.482982,-0.218256,-0.0650981,0.19159,0.36169,0.467391,0.444462,0.333049,0.145898,0.0234204,-0.200916,-0.370631,-0.469893,-0.565089,-0.625376,-0.639663,-0.643959,0.073367,0.0524945,-0.192555,-0.356043,-0.526087,-0.659599,-0.70358,-0.557911,-0.366843,-0.0921881,0.117409,0.297333,0.364217,0.398973,0.407225,0.396824,0.297687,0.153604,0.0335574,-0.0127696,-0.0158173,0
0.0,0.0178638,0.0357297,0.0535952,0.0714603,0.0893203,0.107171,0.124028,0.139427,0.151078,0.166292,0.202531,0.23539,0.262481,0.307368,0.370795,0.435637,0.657253,1.0,-0.0757486,-0.0744732,-0.0701516,-0.0663062,-0.0574142,-0.0511219,-0.0386114,-0.0245705,-0.0280918,-0.0268447,-0.0255592,-0.0211786,-0.0218076,-0.0216788,-0.0216113,-0.0218406,-0.0214352,-0.0221894,-0.0201697,-0.0248778,-0.0271662,0.695753,0.667897,0.602977,0.518447,0.411492,0.318739,0.189729,0.0547766,-0.00965779,-0.0925254,-0.117872,-0.162696,-0.232849,-0.286577,-0.33121,-0.394442,-0.428715,-0.479087,-0.485664,-0.485471,-0.484889,1
0.0,0.0174966,0.0350503,0.0525649,0.0700501,0.0875299,0.105059,0.12252,0.139974,0.149755,0.163355,0.199457,0.234655,0.262426,0.311775,0.373836,0.441515,0.682383,1.0,-0.0757522,-0.0744994,-0.07027,-0.0664721,-0.0580088,-0.051485,-0.0404689,-0.0250182,-0.0278481,-0.0269794,-0.0257557,-0.0214537,-0.0216711,-0.0217293,-0.0215933,-0.021839,-0.0214507,-0.0221886,-0.0201539,-0.0252089,-0.0271026,0.695764,0.668493,0.60479,0.521868,0.417891,0.325742,0.2053,0.0645025,-0.00486661,-0.0892325,-0.11604,-0.15646,-0.228414,-0.284743,-0.333254,-0.396704,-0.431214,-0.482091,-0.484039,-0.486155,-0.484655,1
